CONFED,NAME,SLUG,SOURCE_PAGE,PNG_URL,PNG_PATH,SVG_URL,SVG_PATH,STATUS,ERROR,SHA1
OFC,🇦🇸 American Samoa,american-samoa,https://football-logos.cc/american-samoa/american-samoa-national-team/,https://assets.football-logos.cc/logos/american-samoa/1500x1500/american-samoa-national-team.28d633fd.png,C:\Temp\national-badges\OFC\american-samoa.png,https://assets.football-logos.cc/logos/american-samoa/svg/american-samoa-national-team.28d633fd.svg,,ok,,a8f431b28a96b5ea03160d5cef11826d6e46ae1d
OFC,🇫🇯 Fiji,fiji,https://football-logos.cc/fiji/fiji-national-team/,https://assets.football-logos.cc/logos/fiji/1500x1500/fiji-national-team.7f88230e.png,C:\Temp\national-badges\OFC\fiji.png,https://assets.football-logos.cc/logos/fiji/svg/fiji-national-team.7f88230e.svg,,ok,,bf6de84d38ddb713b3f4bf9ebef5d66730c9daf0
OFC,🇰🇮 Kiribati,kiribati,https://football-logos.cc/kiribati/kiribati-national-team/,https://assets.football-logos.cc/logos/kiribati/1500x1500/kiribati-national-team.3eb46cd5.png,C:\Temp\national-badges\OFC\kiribati.png,https://assets.football-logos.cc/logos/kiribati/svg/kiribati-national-team.3eb46cd5.svg,,ok,,a011f4275b8891ff395e811369d80e9356d9fe9f
OFC,🇳🇨 New Caledonia,new-caledonia,https://football-logos.cc/new-caledonia/new-caledonia-national-team/,https://assets.football-logos.cc/logos/new-caledonia/1500x1500/new-caledonia-national-team.a35c1822.png,C:\Temp\national-badges\OFC\new-caledonia.png,https://assets.football-logos.cc/logos/new-caledonia/svg/new-caledonia-national-team.a35c1822.svg,,ok,,4b430e55e69e47fd98fbe45c8f0a5efd2cab50ca
OFC,🇳🇷 Nauru,nauru,https://football-logos.cc/nauru/nauru-national-team/,https://assets.football-logos.cc/logos/nauru/1500x1500/nauru-national-team.aeb6e6e1.png,C:\Temp\national-badges\OFC\nauru.png,https://assets.football-logos.cc/logos/nauru/svg/nauru-national-team.aeb6e6e1.svg,,ok,,d45a39792d690216e44dc276b027ff17b5ffedf2
OFC,🇳🇿 New Zealand,new-zealand,https://football-logos.cc/new-zealand/new-zealand-national-team/,https://assets.football-logos.cc/logos/new-zealand/1500x1500/new-zealand-national-team.8d95187f.png,C:\Temp\national-badges\OFC\new-zealand.png,https://assets.football-logos.cc/logos/new-zealand/svg/new-zealand-national-team.8d95187f.svg,,ok,,9e7748e532a182908f832ce5987dab2b837bdc6e
OFC,🇵🇬 Papua New Guinea,papua-new-guinea,https://football-logos.cc/papua-new-guinea/papua-new-guinea-national-team/,https://assets.football-logos.cc/logos/papua-new-guinea/1500x1500/papua-new-guinea-national-team.cebf98de.png,C:\Temp\national-badges\OFC\papua-new-guinea.png,https://assets.football-logos.cc/logos/papua-new-guinea/svg/papua-new-guinea-national-team.cebf98de.svg,,ok,,f659ef6794ae51c6a572ab06e0497970d53b9fb6
OFC,🇵🇼 Palau,palau,https://football-logos.cc/palau/palau-national-team/,https://assets.football-logos.cc/logos/palau/1500x1500/palau-national-team.7b0f51dd.png,C:\Temp\national-badges\OFC\palau.png,https://assets.football-logos.cc/logos/palau/svg/palau-national-team.7b0f51dd.svg,,ok,,8dd37fe7de837ccad1e5e3981ff52ec797003f11
OFC,🇸🇧 Solomon Islands,solomon-islands,https://football-logos.cc/solomon-islands/solomon-islands-national-team/,https://assets.football-logos.cc/logos/solomon-islands/1500x1500/solomon-islands-national-team.aa6a832a.png,C:\Temp\national-badges\OFC\solomon-islands.png,https://assets.football-logos.cc/logos/solomon-islands/svg/solomon-islands-national-team.aa6a832a.svg,,ok,,f6830db273a8aa4045a670023a4f501b959c4b5e
OFC,🇹🇴 Tonga,tonga,https://football-logos.cc/tonga/tonga-national-team/,https://assets.football-logos.cc/logos/tonga/1500x1500/tonga-national-team.16c53565.png,C:\Temp\national-badges\OFC\tonga.png,https://assets.football-logos.cc/logos/tonga/svg/tonga-national-team.16c53565.svg,,ok,,ff6a09c0ede8173b5eec94aa6cbe07a846a6bcf3
OFC,🇹🇻 Tuvalu,tuvalu,https://football-logos.cc/tuvalu/tuvalu-national-team/,https://assets.football-logos.cc/logos/tuvalu/1500x1500/tuvalu-national-team.5847f5fb.png,C:\Temp\national-badges\OFC\tuvalu.png,https://assets.football-logos.cc/logos/tuvalu/svg/tuvalu-national-team.5847f5fb.svg,,ok,,39b55770dd5094a7014c36848675696dd15b196f
OFC,🇻🇺 Vanuatu,vanuatu,https://football-logos.cc/vanuatu/vanuatu-national-team/,https://assets.football-logos.cc/logos/vanuatu/1500x1500/vanuatu-national-team.33b35a31.png,C:\Temp\national-badges\OFC\vanuatu.png,https://assets.football-logos.cc/logos/vanuatu/svg/vanuatu-national-team.33b35a31.svg,,ok,,51490867d079572b72616031ace2be8f5a7ac180
OTHER,🇬🇱 Greenland,greenland,https://football-logos.cc/greenland/greenland-national-team/,https://assets.football-logos.cc/logos/greenland/1500x1500/greenland-national-team.7cec3c0e.png,C:\Temp\national-badges\OTHER\greenland.png,https://assets.football-logos.cc/logos/greenland/svg/greenland-national-team.7cec3c0e.svg,,ok,,a10413441e71fc67bb0a9ad05b960e62a06d5b24
OTHER,🏳 Catalonia,catalonia,https://football-logos.cc/catalonia/catalonia-national-team/,https://assets.football-logos.cc/logos/catalonia/1500x1500/catalonia-national-team.f03b9387.png,C:\Temp\national-badges\OTHER\catalonia.png,https://assets.football-logos.cc/logos/catalonia/svg/catalonia-national-team.f03b9387.svg,,ok,,39ef29a40c8c33f0554ba46581b0c612d2515945
OTHER,🏴 Kurdistan,kurdistan,https://football-logos.cc/kurdistan/kurdistan-national-team/,https://assets.football-logos.cc/logos/kurdistan/1500x1500/kurdistan-national-team.19a4e580.png,C:\Temp\national-badges\OTHER\kurdistan.png,https://assets.football-logos.cc/logos/kurdistan/svg/kurdistan-national-team.19a4e580.svg,,ok,,09055226d6f3945dc84048845f240acd70a1fb0d
UEFA,🇦🇩 Andorra,andorra,https://football-logos.cc/andorra/andorra-national-team/,https://assets.football-logos.cc/logos/andorra/1500x1500/andorra-national-team.a6b33475.png,C:\Temp\national-badges\UEFA\andorra.png,https://assets.football-logos.cc/logos/andorra/svg/andorra-national-team.a6b33475.svg,,ok,,d84e839b88f2ad33d63ce010a6e50529cae7056f
UEFA,🇦🇱 Albania,albania,https://football-logos.cc/albania/albania-national-team/,https://assets.football-logos.cc/logos/albania/1500x1500/albania-national-team.5fbd700f.png,C:\Temp\national-badges\UEFA\albania.png,https://assets.football-logos.cc/logos/albania/svg/albania-national-team.5fbd700f.svg,,ok,,834f6403535ca103695305d1ae1bbe3dbb012c48
UEFA,🇦🇲 Armenia,armenia,https://football-logos.cc/armenia/armenia-national-team/,https://assets.football-logos.cc/logos/armenia/1500x1500/armenia-national-team.44ef87f1.png,C:\Temp\national-badges\UEFA\armenia.png,https://assets.football-logos.cc/logos/armenia/svg/armenia-national-team.44ef87f1.svg,,ok,,41f66f4869e244c71624cbc18318efd6a312302d
UEFA,🇦🇹 Austria,austria,https://football-logos.cc/austria/austria-national-team/,https://assets.football-logos.cc/logos/austria/1500x1500/austria-national-team.263bce87.png,C:\Temp\national-badges\UEFA\austria.png,https://assets.football-logos.cc/logos/austria/svg/austria-national-team.263bce87.svg,,ok,,0629c8bc33e893ab8360f633456a103d1e13b016
UEFA,🇦🇿 Azerbaijan,azerbaijan,https://football-logos.cc/azerbaijan/azerbaijan-national-team/,https://assets.football-logos.cc/logos/azerbaijan/1500x1500/azerbaijan-national-team.96c02ef3.png,C:\Temp\national-badges\UEFA\azerbaijan.png,https://assets.football-logos.cc/logos/azerbaijan/svg/azerbaijan-national-team.96c02ef3.svg,,ok,,c9cb14141b6a5fd44ebf0dbd15d985921cc59dbd
UEFA,🇧🇦 Bosnia and Herzegovina,bosnia-and-herzegovina,https://football-logos.cc/bosnia-and-herzegovina/bosnia-and-herzegovina-national-team/,https://assets.football-logos.cc/logos/bosnia-and-herzegovina/1500x1500/bosnia-and-herzegovina-national-team.e7d1965c.png,C:\Temp\national-badges\UEFA\bosnia-and-herzegovina.png,https://assets.football-logos.cc/logos/bosnia-and-herzegovina/svg/bosnia-and-herzegovina-national-team.e7d1965c.svg,,ok,,cf067e26cbe91adb0afc0cf0560b97a7a91aa9f4
UEFA,🇧🇪 Belgium,belgium,https://football-logos.cc/belgium/belgium-national-team/,https://assets.football-logos.cc/logos/belgium/1500x1500/belgium-national-team.fa9a5779.png,C:\Temp\national-badges\UEFA\belgium.png,https://assets.football-logos.cc/logos/belgium/svg/belgium-national-team.fa9a5779.svg,,ok,,197f8ac9f4df0834f7c4da26dcbc016a3984d4ee
UEFA,🇧🇬 Bulgaria,bulgaria,https://football-logos.cc/bulgaria/bulgaria-national-team/,https://assets.football-logos.cc/logos/bulgaria/1500x1500/bulgaria-national-team.09378956.png,C:\Temp\national-badges\UEFA\bulgaria.png,https://assets.football-logos.cc/logos/bulgaria/svg/bulgaria-national-team.09378956.svg,,ok,,11557d28a8597be4cd5a35b503071e6f9cc71bd9
UEFA,🇧🇾 Belarus,belarus,https://football-logos.cc/belarus/belarus-national-team/,https://assets.football-logos.cc/logos/belarus/1500x1500/belarus-national-team.4cd3944c.png,C:\Temp\national-badges\UEFA\belarus.png,https://assets.football-logos.cc/logos/belarus/svg/belarus-national-team.4cd3944c.svg,,ok,,f27d964cbf3cdc9f9f1af4c3524639b882aa71a7
UEFA,🇨🇭 Switzerland,switzerland,https://football-logos.cc/switzerland/switzerland-national-team/,https://assets.football-logos.cc/logos/switzerland/1500x1500/switzerland-national-team.c50f88e5.png,C:\Temp\national-badges\UEFA\switzerland.png,https://assets.football-logos.cc/logos/switzerland/svg/switzerland-national-team.c50f88e5.svg,,ok,,e7248708e90dba1f7c8dc18a21a02baf6e077cf0
UEFA,🇨🇾 Cyprus,cyprus,https://football-logos.cc/cyprus/cyprus-national-team/,https://assets.football-logos.cc/logos/cyprus/1500x1500/cyprus-national-team.5ef30df8.png,C:\Temp\national-badges\UEFA\cyprus.png,https://assets.football-logos.cc/logos/cyprus/svg/cyprus-national-team.5ef30df8.svg,,ok,,c32ed894fe3ae4e92fa77fd6898a011bb7d33ff9
UEFA,🇨🇿 Czech Republic,czech-republic,https://football-logos.cc/czech-republic/czech-republic-national-team/,https://assets.football-logos.cc/logos/czech-republic/1500x1500/czech-republic-national-team.885f7471.png,C:\Temp\national-badges\UEFA\czech-republic.png,https://assets.football-logos.cc/logos/czech-republic/svg/czech-republic-national-team.885f7471.svg,,ok,,4a80328ea4a7794381f9d6aaee53e7fca9b01564
